23:22:20.130 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 2 ms
23:22:20.130 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 38 puntos, longitud: 37.0 km, tiempo estimado: 74.0 minutos
23:22:20.138 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:20.138 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (35.0,22.0) hasta (30.0,25.0)
23:22:20.139 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:20.139 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 9 puntos, distancia: 8.0 km
23:22:20.139 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 18 iteraciones, 18 nodos expandidos, 68 nodos evaluados, 0 bloqueos sorteados
23:22:20.140 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 0 ms
23:22:20.140 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 9 puntos, longitud: 8.0 km, tiempo estimado: 16.0 minutos
23:22:20.147 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:20.147 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (30.0,25.0) hasta (28.0,32.0)
23:22:20.147 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:20.148 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 10 puntos, distancia: 9.0 km
23:22:20.148 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 20 iteraciones, 20 nodos expandidos, 76 nodos evaluados, 0 bloqueos sorteados
23:22:20.148 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 0 ms
23:22:20.149 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 10 puntos, longitud: 9.0 km, tiempo estimado: 18.0 minutos
23:22:20.155 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:20.156 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (28.0,32.0) hasta (45.0,28.0)
23:22:20.156 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:20.157 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 22 puntos, distancia: 21.0 km
23:22:20.157 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 70 iteraciones, 70 nodos expandidos, 276 nodos evaluados, 0 bloqueos sorteados
23:22:20.158 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 1 ms
23:22:20.158 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 22 puntos, longitud: 21.0 km, tiempo estimado: 42.0 minutos
23:22:20.165 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:20.165 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (45.0,28.0) hasta (12.0,8.0)
23:22:20.166 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:20.169 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 54 puntos, distancia: 53.0 km
23:22:20.169 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 249 iteraciones, 249 nodos expandidos, 992 nodos evaluados, 0 bloqueos sorteados
23:22:20.169 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 3 ms
23:22:20.170 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 54 puntos, longitud: 53.0 km, tiempo estimado: 106.0 minutos
23:22:20.411 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:20.411 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (12.0,8.0) hasta (18.0,45.0)
23:22:20.412 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:20.415 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 44 puntos, distancia: 43.0 km
23:22:20.416 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 239 iteraciones, 239 nodos expandidos, 952 nodos evaluados, 0 bloqueos sorteados
23:22:20.417 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 3 ms
23:22:20.417 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 44 puntos, longitud: 43.0 km, tiempo estimado: 86.0 minutos
23:22:20.427 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:20.428 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (18.0,45.0) hasta (15.0,55.0)
23:22:20.428 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:20.429 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 14 puntos, distancia: 13.0 km
23:22:20.430 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 29 iteraciones, 29 nodos expandidos, 112 nodos evaluados, 0 bloqueos sorteados
23:22:20.430 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 0 ms
23:22:20.430 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 14 puntos, longitud: 13.0 km, tiempo estimado: 26.0 minutos
23:22:20.439 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:20.439 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (15.0,55.0) hasta (22.0,48.0)
23:22:20.440 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:20.441 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 15 puntos, distancia: 14.0 km
23:22:20.441 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 54 iteraciones, 54 nodos expandidos, 212 nodos evaluados, 0 bloqueos sorteados
23:22:20.442 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 1 ms
23:22:20.442 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 15 puntos, longitud: 14.0 km, tiempo estimado: 28.0 minutos
23:22:20.452 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:20.452 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (22.0,48.0) hasta (32.0,42.0)
23:22:20.452 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:20.453 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 17 puntos, distancia: 16.0 km
23:22:20.453 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 52 iteraciones, 52 nodos expandidos, 204 nodos evaluados, 0 bloqueos sorteados
23:22:20.453 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 0 ms
23:22:20.454 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 17 puntos, longitud: 16.0 km, tiempo estimado: 32.0 minutos
23:22:20.461 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:20.461 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (32.0,42.0) hasta (12.0,8.0)
23:22:20.461 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:20.464 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 55 puntos, distancia: 54.0 km
23:22:20.464 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 301 iteraciones, 301 nodos expandidos, 1200 nodos evaluados, 0 bloqueos sorteados
23:22:20.464 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 1 ms
23:22:20.464 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 55 puntos, longitud: 54.0 km, tiempo estimado: 108.0 minutos
